full_id,osm_id,amenity,name,cuisine,POINT_X,POINT_Y,,,,,,,,,,,,,,,,,,,,,,,
54,5815796855,restaurant,Boschendal,,18.9690452,-33.8858063,,,,,,,,,,,,,,,,,,,,,,,
55,6044195388,restaurant,Volkskombuis,,18.8527578,-33.9420212,,,,,,,,,,,,,,,,,,,,,,,
56,6049446585,restaurant,Oppie dorp,,18.8605162,-33.9389278,,,,,,,,,,,,,,,,,,,,,,,
57,6076889888,restaurant,Spek,,18.8557625,-33.9395382,,,,,,,,,,,,,,,,,,,,,,,
58,6164246587,restaurant,The Werf,,18.9733673,-33.8767606,,,,,,,,,,,,,,,,,,,,,,,
59,6214140185,restaurant,Simonsig,,18.8256473,-33.8700734,,,,,,,,,,,,,,,,,,,,,,,
60,6322940953,restaurant,Katjiepiering,,18.8649655,-33.9360866,,,,,,,,,,,,,,,,,,,,,,,
61,6391443185,restaurant,Doppio Zero,,18.8617869,-33.9370920,,,,,,,,,,,,,,,,,,,,,,,
62,6562409450,restaurant,Allee Bleue Bistro,,18.9864095,-33.8584633,,,,,,,,,,,,,,,,,,,,,,,
63,6635584864,restaurant,Balboa,,18.8611845,-33.9373598,,,,,,,,,,,,,,,,,,,,,,,
64,6635598183,restaurant,RoccoMamas,,18.8608081,-33.9364064,,,,,,,,,,,,,,,,,,,,,,,
65,6635607482,restaurant,Steam Restaurant,,18.8629662,-33.9383320,,,,,,,,,,,,,,,,,,,,,,,
66,6635622206,restaurant,De Stomme Jonge,,18.8629762,-33.9384134,,,,,,,,,,,,,,,,,,,,,,,
67,6635633325,restaurant,Tiger's Milk,,18.8566718,-33.9393469,,,,,,,,,,,,,,,,,,,,,,,
68,6635634284,restaurant,Cafe Furlough,,18.8559100,-33.9395146,,,,,,,,,,,,,,,,,,,,,,,
69,6635639696,restaurant,Cafe Pave,,18.9320305,-33.9189190,,,,,,,,,,,,,,,,,,,,,,,
70,6635639697,restaurant,Hudson's,,18.8567785,-33.9396826,,,,,,,,,,,,,,,,,,,,,,,
71,6635650428,restaurant,Mugg & Bean,,18.8594462,-33.9385127,,,,,,,,,,,,,,,,,,,,,,,
72,6635650429,restaurant,De Warenmarkt,,18.8631247,-33.9370658,,,,,,,,,,,,,,,,,,,,,,,
73,6635650698,restaurant,Ocean Basket,seafood,18.8606093,-33.9367294,,,,,,,,,,,,,,,,,,,,,,,
74,6635672551,restaurant,Craft Wheat & Hops,,18.8612602,-33.9377414,,,,,,,,,,,,,,,,,,,,,,,
75,6635672886,restaurant,Man'oushe,,18.8612165,-33.9375785,,,,,,,,,,,,,,,,,,,,,,,
76,6703568385,restaurant,Dora's,fine_dining;african;local,18.8632149,-33.9383178,,,,,,,,,,,,,,,,,,,,,,,
77,7001643485,restaurant,Muratie Farm Kitchen,,18.8756695,-33.8708016,,,,,,,,,,,,,,,,,,,,,,,
78,7017944044,restaurant,Rocco & Riley,sandwich;pasta;breakfast;salad;w;pastry,18.8351362,-33.9652204,,,,,,,,,,,,,,,,,,,,,,,
79,7026867064,restaurant,Thirsty Scarecrow,,18.8265300,-33.9982587,,,,,,,,,,,,,,,,,,,,,,,
80,7314725884,restaurant,Kunjani Wines,,18.8058042,-33.8945176,,,,,,,,,,,,,,,,,,,,,,,
81,7315953280,restaurant,Col'Cacchio,italian,18.8622017,-33.9373713,,,,,,,,,,,,,,,,,,,,,,,
82,7323208719,restaurant,Taphuis,,18.8940175,-33.9379626,,,,,,,,,,,,,,,,,,,,,,,
83,7323208720,restaurant,Manor Kitchen,,18.8943447,-33.9377757,,,,,,,,,,,,,,,,,,,,,,,
84,8058363604,restaurant,G├Ñte Restaurant,international,18.8669885,-33.8780429,,,,,,,,,,,,,,,,,,,,,,,
85,8058363606,restaurant,Knorhoek Restaurant,regional;pizza;burger,18.8717183,-33.8783221,,,,,,,,,,,,,,,,,,,,,,,
86,8142924638,restaurant,Follow The White Rabbit,burger;wraps;sandwich;coffee,18.8368205,-33.9648154,,,,,,,,,,,,,,,,,,,,,,,
87,8476561861,restaurant,Alex On Fire Moto Bistro,,18.7165576,-34.0017371,,,,,,,,,,,,,,,,,,,,,,,
88,104239047,restaurant,Amazink Eatery,,18.8488970,-33.9160173,,,,,,,,,,,,,,,,,,,,,,,
89,384846129,restaurant,Bodega,international,18.8710584,-33.9928562,,,,,,,,,,,,,,,,,,,,,,,
90,429850814,restaurant,YaYa and Oak Corner,,18.8501877,-33.9403776,,,,,,,,,,,,,,,,,,,,,,,
91,431171207,restaurant,The Fat Butcher,steak_house,18.8639633,-33.9370202,,,,,,,,,,,,,,,,,,,,,,,
92,750377351,restaurant,Postcard Cafe,international,18.9101331,-33.9537627,,,,,,,,,,,,,,,,,,,,,,,
93,750460473,restaurant,Lanzerac Deli,,18.8931675,-33.9373732,,,,,,,,,,,,,,,,,,,,,,,
94,750499424,restaurant,,regional,18.9187886,-33.9142336,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
